"GeometryIds","Points:0","Points:1","Points:2","a","arc_length","current density:0","current density:1","current density:2","magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","magnetic vector potential:0","magnetic vector potential:1","magnetic vector potential:2"
15,-0.0062453,0.039813,0,-0.00065261,0.0098538,0,0,0,27566,-1.1129e+05,0,0.03464,-0.13985,0,0,0,-0.00065364
15,-0.0059502,0.039858,0,-0.00061067,0.010152,0,0,0,24481,-1.0625e+05,0,0.030764,-0.13352,0,0,0,-0.00061209
15,-0.0059502,0.039858,0,-0.00061067,0.010152,0,0,0,24481,-1.0625e+05,0,0.030764,-0.13352,0,0,0,-0.00061209
15,-0.0056547,0.039901,0,-0.0005707,0.010451,0,0,0,21900,-1.0176e+05,0,0.02752,-0.12787,0,0,0,-0.00057246
15,-0.0056547,0.039901,0,-0.0005707,0.010451,0,0,0,21900,-1.0176e+05,0,0.02752,-0.12787,0,0,0,-0.00057246
15,-0.0055674,0.039913,0,-0.00055941,0.010539,0,0,0,21250,-1.0061e+05,0,0.026704,-0.12644,0,0,0,-0.00056126
16,-0.0053589,0.039942,0,-0.00053245,0.01075,0,0,0,15119,-98668,0,0.018999,-0.12399,0,0,0,-0.00052753
16,-0.0053589,0.039942,0,-0.00053245,0.01075,0,0,0,15119,-98668,0,0.018999,-0.12399,0,0,0,-0.00052753
16,-0.0050628,0.039981,0,-0.00049571,0.011048,0,0,0,13670,-95087,0,0.017178,-0.11949,0,0,0,-0.00049078
16,-0.0050628,0.039981,0,-0.00049571,0.011048,0,0,0,13670,-95087,0,0.017178,-0.11949,0,0,0,-0.00049078
15,-0.0049528,0.039994,0,-0.00048257,0.011159,0,0,0,17067,-93251,0,0.021446,-0.11718,0,0,0,-0.000485
15,-0.0047664,0.040017,0,-0.00046029,0.011347,0,0,0,15963,-91365,0,0.02006,-0.11481,0,0,0,-0.00046289
15,-0.0047664,0.040017,0,-0.00046029,0.011347,0,0,0,15963,-91365,0,0.02006,-0.11481,0,0,0,-0.00046289
15,-0.0044698,0.040051,0,-0.00042604,0.011645,0,0,0,14389,-88645,0,0.018082,-0.11139,0,0,0,-0.00042887
15,-0.0044698,0.040051,0,-0.00042604,0.011645,0,0,0,14389,-88645,0,0.018082,-0.11139,0,0,0,-0.00042887
